keyword,frequency
digital scholarship,135
KB Lab,126
Digital Humanities,125
Entangled Histories,118
Computational linguistics,117
Police Ordinances,115
Transkribus,113
HTR-transcriptions,104
digital preservation,19
Public Libraries,18
digital humanities,14
web archiving,13
webarchiving,12
Public libraries,12
history,8
library,7
web archive,7
Handwriting Text Recognition,6
OCR,6
cultural heritage,6
web collection,6
webarchive,6
bibliotheekcijfers,5
newspapers,5
bibliotheken,5
born digital,5
national identity,4
Onderzoek,4
early modern,4
OAIS,3
habsburg,3
crown,3
Webinar,3
internet history,3
digitisation,3
Hungary,3
Digital Scholarship,3
jpeg2000,3
Quality,3
hungary,3
openbare bibliotheken,3
press photos,3
makerspaces,3
image recognition,3
makerplaatsen,3
Habsburg,2
corona,2
covid-19,2
digital heritage,2
AI,2
dienstverlening,2
web archaeology,2
Koninklijke Bibliotheek,2
HTR-transcription,2
certification,2
NL-blogosfeer,2
metadata,2
webarchief,2
JP2,2
web history,2
enrichment,2
"public libraries, makerspaces",2
Topstukken uit de KB,2
digitaal erfgoed,2
CO2-emissies,2
CO2-impact,2
duurzaamheid,2
sustainability,2
XS4ALL,2
linked data,2
open access,2
convolutional neural network,2
toegang tot wetenschap,2
BOP,2
Bibliotheekonderzoeksplatform,2
Optical Character Recognition,2
best practices,2
Text analysis,2
Digital Preservation,2
artificial intelligence,2
crowns,1
link ranking,1
public libraries,1
Friesland,1
Books,1
"Digital Humanities, Library,",1
friesland,1
"metadata, artificial intelligence, library, GLAM, kunstmatige intelligentie, AI, machine learning",1
open preservation foundation,1
researcher-in-residence,1
ethics,1
jpylyzer,1
"Artificial Intelligence, libraries, principles",1
netherlands,1
hackathon,1
workshop,1
"Digital Humanities, libraries",1
Political thought,1
coronation,1
"artificial intelligence, library, GLAM, kunstmatige intelligentie, AI,",1
early modern period,1
Emperor Matthias,1
podcast,1
Internet Archive,1
tapes,1
digital forensics,1
collection policy,1
web archiving webarchiving corona covid-19,1
Ghent University Facultyday,1
imagology,1
identity,1
"AI, library, kunstmatige intelligentie, prncipes",1
"Computer Vision, Distant viewing, Digitized newspapers",1
web collectie,1
"Machine learning, linked data, Wikidata",1
Computer Vision,1
Tools,1
Corpus,1
Convolutional Neural Networks,1
Deep Learning,1
Patterns,1
Visual Datasets,1
digital dark age,1
Planets,1
websites,1
digitale duurzaamheid,1
academic library,1
skill-building,1
kennisdeling,1
preservation watch,1
"Systems,",1
Applications,1
Multimedia Document Processing,1
named entities,1
entity linking,1
semantic search,1
machine learning,1
crowdsourcing,1
Preservation Policy,1
NCDD,1
photographs,1
dataset,1
computer vision,1
epub,1
researcher in residence,1
PDF,1
Portable Document Format,1
preservation planning,1
KB National Library of the Netherlands,1
data science,1
digibeten,1
multifunctioneel,1
kleine kernen,1
ICT with industry,1
21th century skills,1
digivaardig,1
taalvaardig,1
laaggeletterdheid,1
kb lab,1
basisvaardigheden,1
Digitale vaardigheden,1
Belastingdienst,1
BoekStart,1
Voor- en vroegschoolse educatie,1
Metadata,1
ontmoetingsplekken,1
bibliotheek van de toekomst,1
accommodatie,1
KB Researcher-in-residence,1
Machine learning,1
LSTM,1
Open Archival Information system,1
Network Cultural Heritage,1
Digital Heritage,1
Linked Data,1
history of reading,1
reading revolutions,1
machine reading,1
deep learning,1
neural networks,1
Delpher,1
periodicals,1
Data,1
Dutch,1
blackletter,1
Chris Lebeau,1
openbare bibliotheek,1
literature,1
NLP,1
"Art Nouveau, Book art, book design, woodcuts, 1890s, Nieuwe Kunst, kustenaarsboeken, boekontwerp, houtsneden, jaren 1890",1
Sprookjes,1
Handschrift,1
Nederland,1
HTR,1
Antwerp,1
Printing press,1
Hans van Liesvelt,1
"Writing-book, Willem Silvius, Manuscript, Calligraphy, Antwerp, Sixteenth Century",1
Louis Couperus,1
Boekband,1
Drukken,1
Batik,1
Nederlands-IndiÃ«,1
roman,1
De stille kracht,1
Kolonialisme,1
catalogisering,1
trefwoorden,1
thesauri,1
classificatie,1
bibliotheek,1
Nationale bibliotheek,1
Systematische catalogus,1
Ebooks,1
wetenschap voor iedereen,1
"text simplification, ARTIST, artificial intelligence, laaggeletterheid, tekst simplificatie",1
open access beleid,1
open access boeken,1
archives,1
religion,1
spirituality,1
"Wikipedia, hoaxes, nepnieuws, fake news",1
tools-to-data,1
non-consumptive reading,1
distant reading,1
text and data mining,1
secure data environment,1
collections as data,1
lhbt,1
lgbt,1
Virtual Research Environment,1
User Interface,1
User Needs,1
Digitised text,1
Corpus Selection,1
Poetry,1
Book design,1
Illustrations,1
"Achterberg, Gerrit",1
Typography,1
LOD,1
Linked open data,1
heritage,1
alba amicorum,1
sparql,1
Drukgeschiedenis,1
Digitalisering,1
historical printed collections,1
innovatie,1
open access publishing,1
society journals,1
transition to open access,1
digital heritage collections,1
medieval,1
memes,1
digitized collections,1
regalia,1
"libraries, artificial intelligence",1
Text quality,1
linkanalyse,1
kunstenaars,1
visievorming,1
reizen,1
Uitgeverij,1
datasamenleving,1
data,1
digitaal_burgerschap,1
openbare_bibliotheken,1
"optical character recognition, digital humanities, ocr quality, digital heritage, newspapers",1
Libraries,1
Kunstmatige Intelligentie,1
Bibliotheek,1
blogosfeer,1
"digital heritage, collections, Delpher, website, text analyses",1
national bibliography,1
Brinkman,1
optical character recognition,1
persistent digital identifier,1
reformation,1
Library,1
Curation,1
Gerrit Krol,1
webcurator tool,1
website,1
web incunable,1
deepfake,1
web archives,1
social media,1
The Netherlands,1
coronavirus,1
"innovatie, libraries, future, makerspace, students, design, onderzoek",1
open wetenschap,1
open science,1
overzichtsartikel open science,1
"taal, tekst, digitale_literatuur, AR, innovatie, bibliotheken, publicaties, collectie, digitaal",1
digital cultural heritage,1
digital libraries,1
user interface,1
historical newsarchive,1
exploration,1
pandemics,1
demonstration website,1
Chinese culture,1
china,1
chinese diaspora,1
web archiving history,1
xs4all,1
Twitter,1
optical media,1
